AudioData_AdaBoostClassifier,AudioData_DecisionTreeClassifier,AudioData_GradientBoostingClassifier,ProcessedMeta_AdaBoostClassifier,ProcessedMeta_BaggingClassifier,ProcessedMeta_DecisionTreeClassifier,ProcessedMeta_SVC,ProcessedMeta_XGBClassifier,TextData_BaggingClassifier,TextData_GradientBoostingClassifier,TextData_RandomForestClassifier,TextData_XGBClassifier,V3Data_AdaBoostClassifier,V3Data_DecisionTreeClassifier,V3Data_GradientBoostingClassifier,V3Data_KNeighborsClassifier,V3Data_LogisticRegression,V3Data_MultinomialNB,V3Data_XGBClassifier,VisualData_AdaBoostClassifier,VisualData_BaggingClassifier,VisualData_DecisionTreeClassifier,VisualData_GradientBoostingClassifier,VisualData_KNeighborsClassifier,VisualData_LogisticRegression,VisualData_RandomForestClassifier,VisualData_SVC,VisualData_XGBClassifier
0.5145127504857575,0.0,0.9397073574861292,0.5442448413219328,0.7,1.0,0.5395980435395339,0.9482516646385193,0.5,0.6003837182340843,0.3,0.2564842402935028,0.6107921293085025,1.0,0.8841066555011099,0.6,0.9943624419805795,0.9992213987407179,0.6800740957260132,0.608552765714338,0.7,0.0,0.9855184178811248,1.0,0.6026618243545734,0.5,0.5395370803694393,0.8404058218002319
0.5660732569099435,1.0,0.9879905525492239,0.48834167490998104,0.7,1.0,0.5395980435395339,0.1719929724931717,0.3,0.3635234768676519,0.4,0.3416742980480194,0.48001927841725167,1.0,0.849211949417145,0.8,0.5684500424488583,0.7831402481131244,0.7171909809112549,0.4175345436787972,0.2,0.0,0.13993293795076495,0.6,0.11969368709130208,0.6,0.5395370803694393,0.8969246745109558
0.5502604504499239,1.0,0.08183051768912655,0.4253471125973147,0.8,0.0,0.5395980435395339,0.6230189800262451,0.4,0.40450440725121023,0.2,0.5312334895133972,0.5896745629848795,1.0,0.9975483007797381,0.2,0.38108754479459206,0.03339009788925205,0.9921795129776001,0.5080575585005588,0.8470238095238095,0.8333333333333334,0.834887424035465,0.8,0.7995441773272598,0.7949999999999999,0.5887899351842666,0.8199242949485779
0.6958237491302198,1.0,0.9892474399227341,0.5074252264779344,0.5,0.0,0.5395980435395339,0.35827967524528503,0.0,0.0563579537240712,0.1,0.19285263121128082,0.6317062063278488,1.0,0.9634371996072931,0.8,0.7150363453011397,0.15462705738923258,0.6697465777397156,0.65131435661276,0.5,1.0,0.5939754053870002,0.0,0.0006683903747591882,0.5,0.5395370803694393,0.1939278393983841
0.473507572488381,0.0,0.004226236506042729,0.5060855583117336,0.8,1.0,0.5395980435395339,0.6071345210075378,0.4,0.6003837182340843,0.3,0.5084214806556702,0.47251074799410986,0.0,0.8452670922213202,0.8,0.8692254300479159,0.3548004269866703,0.5466853380203247,0.6100093191830945,0.7,0.0,0.8660871761173429,0.4,0.5195344981119179,0.5,0.5395370803694393,0.6849462985992432
0.4910911253599085,0.0,0.9582548054070389,0.49839207509185357,0.8,1.0,0.5395980435395339,0.5593746900558472,0.5,0.5418915773002397,0.5,0.3611287474632263,0.3974945403950812,0.0,0.0014299107158893742,0.4,0.2443095525332285,0.003290385298043452,0.03372360020875931,0.4813756201653228,0.5,1.0,0.9759092518218905,1.0,0.9366688504409557,0.7,0.5395370803694393,0.7596595883369446
0.5099504330909753,1.0,0.07321318059802988,0.45566580991472505,0.0,0.0,0.5395980435395339,0.027187153697013855,0.5,0.6003837182340843,0.3,0.5084214806556702,0.5250927647678708,1.0,0.9731212300704606,0.6,0.7193553688681937,0.3349782757569433,0.7849841713905334,0.5708303442615782,0.7,1.0,0.9494321777541928,0.6,0.03436030898931416,0.3,0.5395370803694393,0.5660061240196228
0.6760214899822242,0.0,0.9434546301300277,0.46710872364952866,0.2,0.0,0.5364641996571231,0.17005202174186707,0.4,0.7261820755993242,0.8,0.43679264187812805,0.5371043377798828,0.0,0.11647757682958772,0.6,0.8708413010494257,0.999333160358636,0.3127526342868805,0.5080480721541679,0.8869505494505494,0.8333333333333334,0.8395652987800925,0.8,0.8468529211782556,0.8429292929292929,0.7703478981251393,0.8556501865386963
0.5826560155159648,0.0,0.9397800812908673,0.48824496396118006,0.7,0.0,0.5395980435395339,0.2016531080007553,1.0,0.9862759835006956,0.5,0.9516661763191223,0.5496983381496497,1.0,0.7473936274586889,1.0,0.5814753296592696,0.2693026910430004,0.6723905205726624,0.41048081653085466,0.11964285714285713,0.0,0.05154314443407216,0.6,0.9141266243711476,0.7,0.5395370803694393,0.2526065707206726
0.48361705483811684,1.0,0.04751509009111709,0.4977098979344157,0.3,1.0,0.5392950155228121,0.6710717678070068,0.1,0.10354913134213765,0.3,0.304744690656662,0.4329812390176135,1.0,0.3137979606042515,0.8,0.14449884782918468,0.2216773012919697,0.36732786893844604,0.5294949859653998,0.9,1.0,0.8742500406370981,0.6,0.9922193398796602,0.3,0.5395370803694393,0.7869724631309509
